role,ref_type,ref_name,ref_xmlid,ref_source,view_id,view_name,view_model,button_name_raw,groups_raw,visible
demo_pm,view_object_button,,project.edit_project,project.edit_project:form:action_view_tasks,831,project.project.form,project.project,action_view_tasks,,0
demo_pm,view_object_button,,project.edit_project,project.edit_project:form:project_update_all_action,831,project.project.form,project.project,project_update_all_action,project.group_project_user,0
demo_pm,view_object_button,预算,smart_construction_core.view_project_form_financial_buttons,smart_construction_core.view_project_form_financial_buttons:form:action_open_project_budgets,1330,project.project.form.financial.buttons,project.project,action_open_project_budgets,"smart_construction_core.group_sc_cap_cost_user,smart_construction_core.group_sc_cap_cost_manager",0
demo_pm,view_object_button,合同,smart_construction_core.view_project_form_financial_buttons,smart_construction_core.view_project_form_financial_buttons:form:action_open_project_contracts,1330,project.project.form.financial.buttons,project.project,action_open_project_contracts,"smart_construction_core.group_sc_cap_contract_user,smart_construction_core.group_sc_cap_contract_manager",0
demo_pm,view_object_button,提交立项,smart_construction_core.view_project_form_sc_core,smart_construction_core.view_project_form_sc_core:form:action_sc_submit,1302,project.project.form.sc.core,project.project,action_sc_submit,,1
demo_pm,view_object_button,任务,smart_construction_core.view_project_form_sc_core,smart_construction_core.view_project_form_sc_core:form:action_view_tasks,1302,project.project.form.sc.core,project.project,action_view_tasks,"base.group_system,smart_construction_core.group_sc_task_entry_access,smart_construction_core.group_sc_super_admin",0
demo_pm,view_object_button,,smart_construction_core.view_project_form_sc_core,smart_construction_core.view_project_form_sc_core:form:project_update_all_action,1302,project.project.form.sc.core,project.project,project_update_all_action,"base.group_system,smart_construction_core.group_sc_task_entry_access,smart_construction_core.group_sc_super_admin",0
demo_pm,view_object_button,执行结构,smart_construction_core.view_project_form_sc_core,smart_construction_core.view_project_form_sc_core:form:action_open_wbs,1302,project.project.form.sc.core,project.project,action_open_wbs,smart_construction_core.group_sc_cap_project_read,1
demo_pm,view_object_button,工程量清单,smart_construction_core.view_project_form_sc_core,smart_construction_core.view_project_form_sc_core:form:action_open_boq_import,1302,project.project.form.sc.core,project.project,action_open_boq_import,"smart_construction_core.group_sc_cap_cost_user,smart_construction_core.group_sc_cap_cost_manager",0
demo_pm,view_object_button,查看台账明细,smart_construction_core.view_project_form_sc_core,smart_construction_core.view_project_form_sc_core:form:action_open_cost_ledger,1302,project.project.form.sc.core,project.project,action_open_cost_ledger,"smart_construction_core.group_sc_cap_cost_user,smart_construction_core.group_sc_cap_cost_manager",0
