legacy_project_id,source_lane,source_rows,visible_source_rows,project_name,sample_contract_id,sample_contract_subject,visible_filter_reasons,legacy_status_counts,source_deleted_rows,missing_subject_rows,missing_counterparty_rows,amount_gcyszj_sum,business_nature_counts,gap_route,gap_note
057a6f0da95840a4975138b599d9dbbf,contract_project_business_fact_anchor,1,0,T2A指廊机房挡水墙改造项目,d9ca064fe792457cb698ff51138f5fa0,T2A指廊机房挡水墙改造项目,non_visible_status,"{""0"": 1}",0,0,0,115020.00,"{""联营"": 1}",contract_business_fact_project_anchor_carried,"contract source has project id absent from project.csv and does not pass visible income contract filter, but is carried as a historical project business-fact anchor"
07016487cba94e3e8e09290c1becb3d0,contract_project_business_fact_anchor,1,0,西昌市佑君镇2019年站沟河整治、护堤墙砌筑工程,64c850fbe31c45ddb9202531e70dd362,,missing_subject,"{""__empty__"": 1}",0,1,0,537700.00,"{""联营"": 1}",contract_business_fact_project_anchor_carried,"contract source has project id absent from project.csv and does not pass visible income contract filter, but is carried as a historical project business-fact anchor"
12287d9ab206422a867790b51de38f40,contract_project_business_fact_anchor,1,0,公司采购平台,663b3101ecb64b56a014e39e45e9f0fd,石油化工资质增项,non_visible_status,"{""0"": 1}",0,0,0,60000.00,"{""联营"": 1}",contract_business_fact_project_anchor_carried,"contract source has project id absent from project.csv and does not pass visible income contract filter, but is carried as a historical project business-fact anchor"
157aa481cc0d4a4e85a8a1220a668ec3,contract_project_business_fact_anchor,1,0,万兴一品四组团区域景观土建工程,144ecdfb3c9346839fe69bf6cc880cdb,,missing_subject,"{""__empty__"": 1}",0,1,0,4680000.00,"{""联营"": 1}",contract_business_fact_project_anchor_carried,"contract source has project id absent from project.csv and does not pass visible income contract filter, but is carried as a historical project business-fact anchor"
22cc58beaef44ba5a8aae55953edd635,contract_project_business_fact_anchor,1,0,德阳市水韵江南小区4栋、13栋维修,24a431f479a5494c86c59933af595c72,德阳市水韵江南小区4栋、13栋维修,non_visible_status,"{""-1"": 1}",0,0,0,114157.94,"{""联营"": 1}",contract_business_fact_project_anchor_carried,"contract source has project id absent from project.csv and does not pass visible income contract filter, but is carried as a historical project business-fact anchor"
2756bef7613747e7a08e113435356adb,contract_project_business_fact_anchor,1,0,机加厂2跨3款新建隔墙工程,0f7598f020a745079acccb0a6014690b,机加厂2跨3跨新建隔墙工程,non_visible_status,"{""-1"": 1}",0,0,0,89500.00,"{""联营"": 1}",contract_business_fact_project_anchor_carried,"contract source has project id absent from project.csv and does not pass visible income contract filter, but is carried as a historical project business-fact anchor"
303cb64ae06449108c585b0d0cc6b5cf,contract_project_business_fact_anchor,1,0,茂业仁和春天光华店 2-4 层改造工程,6abf4dfcf96b46669fa561cb4adb147b,茂业仁和春天光华店 2-4 层改造工施工合同,non_visible_status,"{""-1"": 1}",0,0,0,150941.03,"{""联营"": 1}",contract_business_fact_project_anchor_carried,"contract source has project id absent from project.csv and does not pass visible income contract filter, but is carried as a historical project business-fact anchor"
462c18ffad7e4443a1ddd25cfd6acd11,contract_project_business_fact_anchor,1,0,钟鼓楼广场及南公园苗木移植项目,788c9877d5cd4918a7060918f3050e67,钟鼓楼广场及南公园苗木移植项目,missing_counterparty,"{""2"": 1}",0,0,1,40962.82,"{""联营"": 1}",contract_business_fact_project_anchor_carried,"contract source has project id absent from project.csv and does not pass visible income contract filter, but is carried as a historical project business-fact anchor"
57403a8c67e64bd3a163ff4b5feee0ea,contract_project_business_fact_anchor,9,0,测试项目,02c99a3dd7034019b3bac6a83726e4d7,,"missing_counterparty,missing_subject,non_visible_status","{""0"": 1, ""2"": 8}",0,9,9,0.00,"{""联营"": 7, ""自营"": 2}",contract_business_fact_project_anchor_carried,"contract source has project id absent from project.csv and does not pass visible income contract filter, but is carried as a historical project business-fact anchor"
57a29618ea7b44d68a9903644389526e,contract_project_business_fact_anchor,1,0,普格县2019年产业扶贫特色水果种植示范项目大棚及果园灌溉工程（施工2普格县荞窝镇城西村果园灌溉项目）,ac9b7c0bbfb5409a938ab30aea3b365c,普格县2019年产业扶贫特色水果种植示范项目大棚及果园灌溉工程（施工2普格县荞窝镇城西村果园灌溉项目）,non_visible_status,"{""0"": 1}",0,0,0,195900.00,"{""联营"": 1}",contract_business_fact_project_anchor_carried,"contract source has project id absent from project.csv and does not pass visible income contract filter, but is carried as a historical project business-fact anchor"
